wallet,sRGKAmount,RGKAmount,warmupValue,MIMBONDvalue,MIMRGKBONDvalue,USDCvalue,OLDMIMBONDvalue,OLDMIMRGKBONDvalue,PrivatePresaleValue,PublicPresaleValue,total
0x2A18d7543D8AF274E7C10F1E307696AE07779Ad0,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0xf9dD6696aE86EBe3A86B6C508A8C24222C609317,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0x90edEE13F6f66522f40dd5d2892DE1Cd4BD292CF,97.78026497,0,0,0,0,0,0,0,0,0,97.78026497
0xFd098C76B24F66ea7478b76DeBeAbA03f398eEDE,0,0.000011962,5.683382736,0.340626013,0,0,0,0,0,0,6.024020711
0xDDf8dA887a1D5C07d05A948856b79DaB091efc78,0,0.000030585,20.3288,1.286305531,0,0,0,0,0,0,21.615136116000002
0x023a04334787F409d52d20247aCe6649187FfC65,0,0.000815809,0,0,0,0,0,0,0,0,0.000815809
0xDE96EDE60F4a831dF6bbC6Bb4FF4A3529b16C45B,0,0,0,0,0,0,0,0,0,0,0
0xfFe2405e21798e8AA259F8a0471EEb849f8EC685,0,0,0,0,0,0,0,0,0,0,0
0xCCc2734993581437D4A41320fE30159000827629,650.386624786,0.000038847,0,0,0,0,0,0,0,0,650.386663633
0x7c6EC3c0466eCB1c72B5E82Adf6441bF3ec78547,0,0.017650258,0,0,0,0,0,0,0,0,0.017650258
0x6594A10103c1a23Af6E0C1FF27DaE3e645f3448c,0,3.077328503,0,0,0,0,0,0,0,0,3.077328503
0xCA05A8F5cBdA92285635f7bb3D1dDD698842FBD3,0,0,0,0,0,0,0,0,0,0,0
0x87f7c24B65f4fa5465a086DF6e6D4f5ca6fF6593,62.614391359,0,0,0,0,0,0,0,0,0,62.614391359
0xc63ba8c3D63D3d886b234F230A2f9ecCD9D7E8b8,4.194340018,141.73617466,0,0,0,0,0,0,0,0,145.93051467799998
0x4AFEEe429Be7D16430760cBE07922E132872bf08,0,0,0,3.27241583,0,0,0,0,0,0,3.27241583
0x61dd7F8AD1424B939690f98d8011DD3Bb0627260,144.604100492,0.000071005,0,0,0,0,0,0,0,5.280043069433304e-10,144.604171497528
0xAC1186397EB46f99f695F2c29696a491b1572034,0,0,0,0,0,0,0,0,0,0,0
0x5D40451dC574997C61E16C30A5c0E3ada80B8E3B,0,0,0,0,0,0,0,0,0,0,0
0xCe0Bdca2Bb503639aE43E280fbA9a49F966f7B8A,0,0,0,0.560947037,0,0,0,0,0,0,0.560947037
0x36FdC114479C93B778Fb26628C567D07643Aa60E,0,0,0,0,0,0,0,0,0,0,0
0xC52a792e7Ddc0a47b6899392D1fA71F77bd75515,142.940439239,0.000021805,0,0,0,0,0,0,0,0,142.940461044
0xF4eEdF41ff6043004876DEd21f82C4c3e58750aa,120.342156871,0,6.930787892,0.545347396,0,0,0,0,0,0,127.818292159
0xE55B9fEB4DfBC99eC0e82Ff9cDCAEf0D154Beb7C,127.850507221,0,0,0,0,0,0,0,0,0,127.850507221
0xc255E8a24d8769144CeE06E3c122e20429Ce05C8,0,941.562919624,66.980424194,4.803458411,0,0,0,0,0,0,1013.3468022289999
0xD4654cAF5795b68B63deAf015CA286Ac55d822be,16.521165807,0,0,0,0,0,0,0,0,3.9399949969265435e-10,16.521165807394
0x81C3C9eB721832841907576aEa76bCD433f92Bfc,348.75506647,7.741202929,0,79.525527917,0,0,0,0,0,0,436.02179731599995
0xfa0d2F0D485eE707dC9349AE8d5b8A2E3Da1BC23,2.831645199,0,0,0,0,6.067324367,0,0,0,0,8.898969566
